# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       Ga3pP2p4
# Spectrum ID:                  18
# Acquisition Date:             06/01/22 13:27:18 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 351
# Dwell Time:                   0.5
# Excitation Energy:            1486.61
# Kinetic Energy:               1351.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 50

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 13:27:18 UTC
# ColumnLabels:                 energy counts/s
#
1351.61  210.86347
1351.71  206.98802
1351.81  209.58467
1351.91  198.81124
1352.01  202.58643
1352.11  203.90738
1352.21  204.86711
1352.31  201.15556
1352.41  207.43245
1352.51  209.37471
1352.61  203.34845
1352.71  203.46614
1352.81  198.88873
1352.91  198.93818
1353.01  197.84826
1353.11  198.88585
1353.21  203.21027
1353.31  203.12278
1353.41  197.49958
1353.51  197.13325
1353.61  199.43258
1353.71  194.85917
1353.81  199.34136
1353.91  199.31619
1354.01  198.27448
1354.11  193.62064
1354.21  196.52982
1354.31  198.34939
1354.41  196.22357
1354.51  198.9507
1354.61  196.6224
1354.71  196.14507
1354.81  198.23059
1354.91  197.6471
1355.01  192.8805
1355.11  195.93472
1355.21  197.89808
1355.31  198.31224
1355.41  207.39208
1355.51  204.78002
1355.61  205.89536
1355.71  209.04964
1355.81  211.12421
1355.91  222.24293
1356.01  233.52846
1356.11  243.73666
1356.21  243.86328
1356.31  256.07802
1356.41  255.6524
1356.51  251.1953
1356.61  251.93772
1356.71  253.97519
1356.81  264.78049
1356.91  278.05095
1357.01  283.65245
1357.11  298.83625
1357.21  299.8911
1357.31  282.61276
1357.41  272.12786
1357.51  252.09959
1357.61  236.47158
1357.71  221.13607
1357.81  214.9314
1357.91  207.45671
1358.01  206.6818
1358.11  203.59689
1358.21  201.02107
1358.31  204.22883
1358.41  205.21519
1358.51  203.20226
1358.61  201.67062
1358.71  199.47448
1358.81  204.60344
1358.91  202.66838
1359.01  204.57437
1359.11  208.72672
1359.21  206.15923
1359.31  205.5368
1359.41  202.43188
1359.51  201.58984
1359.61  203.79476
1359.71  203.91093
1359.81  210.12437
1359.91  213.07939
1360.01  212.34496
1360.11  214.9138
1360.21  215.1977
1360.31  212.90916
1360.41  215.15421
1360.51  216.85301
1360.61  213.22757
1360.71  213.96195
1360.81  217.267
1360.91  220.82616
1361.01  224.50024
1361.11  229.62054
1361.21  226.46859
1361.31  232.268
1361.41  235.17532
1361.51  238.68304
1361.61  238.59471
1361.71  241.02814
1361.81  247.80706
1361.91  249.93475
1362.01  259.24025
1362.11  259.10433
1362.21  262.50634
1362.31  266.5022
1362.41  274.19368
1362.51  269.8013
1362.61  278.86055
1362.71  284.74101
1362.81  290.60525
1362.91  289.58464
1363.01  292.90216
1363.11  292.91918
1363.21  291.54986
1363.31  294.48534
1363.41  288.37204
1363.51  287.8689
1363.61  279.60481
1363.71  276.20174
1363.81  269.22463
1363.91  267.88263
1364.01  264.03461
1364.11  251.83188
1364.21  250.42447
1364.31  250.27108
1364.41  246.56371
1364.51  240.71008
1364.61  234.29947
1364.71  228.35879
1364.81  221.26504
1364.91  221.68587
1365.01  219.23809
1365.11  222.30299
1365.21  215.45408
1365.31  219.11841
1365.41  216.46081
1365.51  210.09139
1365.61  207.87631
1365.71  208.68615
1365.81  205.63415
1365.91  207.75795
1366.01  203.83313
1366.11  203.17622
1366.21  203.63361
1366.31  203.03278
1366.41  198.67049
1366.51  194.93679
1366.61  194.53519
1366.71  196.22212
1366.81  198.6266
1366.91  193.14945
1367.01  193.12051
1367.11  192.42676
1367.21  197.04965
1367.31  192.42168
1367.41  189.4634
1367.51  190.13181
1367.61  189.75936
1367.71  183.86111
1367.81  188.66393
1367.91  187.34604
1368.01  184.96278
1368.11  181.63749
1368.21  185.06088
1368.31  180.45262
1368.41  186.24489
1368.51  181.72161
1368.61  183.02666
1368.71  182.37512
1368.81  180.75661
1368.91  184.51599
1369.01  184.0187
1369.11  183.07991
1369.21  181.35932
1369.31  185.931
1369.41  185.98656
1369.51  183.95537
1369.61  189.3244
1369.71  187.24123
1369.81  180.15978
1369.91  179.64169
1370.01  179.82786
1370.11  182.85018
1370.21  183.84743
1370.31  182.28495
1370.41  179.37166
1370.51  181.58565
1370.61  176.40885
1370.71  177.77648
1370.81  177.97427
1370.91  181.53499
1371.01  178.34914
1371.11  176.2092
1371.21  174.67892
1371.31  171.96756
1371.41  176.95559
1371.51  174.6004
1371.61  176.80449
1371.71  175.45776
1371.81  175.88594
1371.91  176.2088
1372.01  174.24839
1372.11  173.37546
1372.21  172.52419
1372.31  176.31937
1372.41  178.89267
1372.51  175.69525
1372.61  174.43405
1372.71  170.71326
1372.81  173.14708
1372.91  175.45556
1373.01  173.52635
1373.11  177.11566
1373.21  177.76106
1373.31  176.79966
1373.41  175.54924
1373.51  175.55527
1373.61  172.73346
1373.71  172.3772
1373.81  170.73678
1373.91  173.75477
1374.01  174.47198
1374.11  175.20386
1374.21  170.53842
1374.31  173.53886
1374.41  174.24771
1374.51  172.59386
1374.61  171.06804
1374.71  174.05198
1374.81  176.0657
1374.91  176.4745
1375.01  176.07448
1375.11  175.30227
1375.21  174.62452
1375.31  173.87654
1375.41  176.80843
1375.51  175.86599
1375.61  171.88764
1375.71  172.1442
1375.81  182.35495
1375.91  184.64348
1376.01  184.65497
1376.11  187.45754
1376.21  184.36146
1376.31  185.79051
1376.41  188.75251
1376.51  193.94946
1376.61  194.38358
1376.71  196.20637
1376.81  202.6248
1376.91  202.3643
1377.01  201.37083
1377.11  202.9457
1377.21  208.40272
1377.31  210.73961
1377.41  212.42909
1377.51  216.41934
1377.61  217.27174
1377.71  220.47952
1377.81  219.59756
1377.91  222.59373
1378.01  220.35506
1378.11  217.06944
1378.21  215.45265
1378.31  213.28631
1378.41  208.43234
1378.51  210.50107
1378.61  206.70965
1378.71  206.99723
1378.81  207.01285
1378.91  203.86179
1379.01  204.29211
1379.11  206.34721
1379.21  201.70681
1379.31  199.61679
1379.41  202.69043
1379.51  207.20978
1379.61  205.68548
1379.71  205.75915
1379.81  209.25854
1379.91  207.93468
1380.01  211.39572
1380.11  215.95992
1380.21  215.13889
1380.31  219.08397
1380.41  226.55966
1380.51  232.80355
1380.61  233.93401
1380.71  244.48488
1380.81  246.13476
1380.91  250.44711
1381.01  248.54613
1381.11  253.67698
1381.21  255.75816
1381.31  259.56704
1381.41  255.10265
1381.51  259.01208
1381.61  253.35088
1381.71  252.92636
1381.81  248.04298
1381.91  238.30226
1382.01  230.80153
1382.11  231.43599
1382.21  226.14872
1382.31  222.28399
1382.41  219.05002
1382.51  213.7412
1382.61  213.68677
1382.71  203.72819
1382.81  202.6631
1382.91  203.23337
1383.01  197.04002
1383.11  195.41607
1383.21  195.91945
1383.31  193.18649
1383.41  187.43546
1383.51  187.94425
1383.61  187.66612
1383.71  186.1982
1383.81  184.39955
1383.91  181.72451
1384.01  183.85452
1384.11  185.28903
1384.21  177.437
1384.31  182.89085
1384.41  180.95886
1384.51  179.70599
1384.61  178.88779
1384.71  178.53821
1384.81  178.18198
1384.91  175.58554
1385.01  177.14714
1385.11  177.08228
1385.21  177.04787
1385.31  175.26889
1385.41  178.10538
1385.51  171.42117
1385.61  174.17766
1385.71  176.7071
1385.81  176.05314
1385.91  176.20354
1386.01  175.93844
1386.11  177.2831
1386.21  178.99034
1386.31  175.20846
1386.41  171.71236
1386.51  175.28153
1386.61  174.62645

# External Channel Data Cycle: 0, Temp1_Sen [K] (EBH 150)
#
# ColumnLabels: energy Temp1_Sen [K] (EBH 150)
#
1351.61 324.95931999999988
1351.71 324.95816000000002
1351.81 324.95736000000005
1351.91 324.95654000000013
1352.01 324.95512000000008
1352.11 324.95332000000008
1352.21 324.95252000000005
1352.31 324.95125999999999
1352.41 324.94990000000007
1352.51 324.94823999999994
1352.61 324.94671999999997
1352.71 324.94558000000006
1352.81 324.94381999999996
1352.91 324.94259999999997
1353.01 324.94159999999988
1353.11 324.94023999999996
1353.21 324.93892
1353.31 324.93792000000008
1353.41 324.93638000000004
1353.51 324.93530000000004
1353.61 324.93407999999994
1353.71 324.93332000000004
1353.81 324.93052
1353.91 324.93008000000003
1354.01 324.92878000000002
1354.11 324.92654000000005
1354.21 324.92568
1354.31 324.92437999999999
1354.41 324.92272000000003
1354.51 324.92214000000007
1354.61 324.92102000000006
1354.71 324.92028000000005
1354.81 324.91858000000002
1354.91 324.91712000000001
1355.01 324.91516000000001
1355.11 324.91412000000003
1355.21 324.91363999999999
1355.31 324.91224000000005
1355.41 324.91118
1355.51 324.90890000000002
1355.61 324.90747999999991
1355.71 324.90657999999991
1355.81 324.90523999999999
1355.91 324.90388000000002
1356.01 324.9023600000001
1356.11 324.90146000000004
1356.21 324.89988000000005
1356.31 324.89814000000001
1356.41 324.89705999999995
1356.51 324.89642000000009
1356.61 324.89425999999997
1356.71 324.89249999999998
1356.81 324.89158000000003
1356.91 324.88960000000009
1357.01 324.88890000000009
1357.11 324.88808
1357.21 324.88640000000004
1357.31 324.88512000000009
1357.41 324.88375999999994
1357.51 324.88218000000006
1357.61 324.88116000000002
1357.71 324.8798799999999
1357.81 324.87823999999995
1357.91 324.87711999999999
1358.01 324.87606000000005
1358.11 324.87528000000003
1358.21 324.87391999999988
1358.31 324.87263999999999
1358.41 324.87132000000003
1358.51 324.86960000000005
1358.61 324.86801999999994
1358.71 324.86660000000001
1358.81 324.86574000000002
1358.91 324.86405999999999
1359.01 324.86323999999996
1359.11 324.86206000000004
1359.21 324.86048000000011
1359.31 324.85840000000007
1359.41 324.85662000000002
1359.51 324.85582000000011
1359.61 324.85527999999994
1359.71 324.85412000000002
1359.81 324.85258000000005
1359.91 324.85174000000001
1360.01 324.85066
1360.11 324.84884
1360.21 324.84757999999999
1360.31 324.84603999999996
1360.41 324.84511999999995
1360.51 324.84463999999991
1360.61 324.84226000000001
1360.71 324.84050000000002
1360.81 324.83924000000002
1360.91 324.83877999999999
1361.01 324.83712000000003
1361.11 324.8347
1361.21 324.83459999999997
1361.31 324.83346000000006
1361.41 324.83137999999997
1361.51 324.83026000000001
1361.61 324.82889999999998
1361.71 324.82725999999997
1361.81 324.82571999999999
1361.91 324.82509999999985
1362.01 324.82385999999985
1362.11 324.82243999999997
1362.21 324.82119999999998
1362.31 324.81971999999985
1362.41 324.81885999999992
1362.51 324.81682000000001
1362.61 324.81584000000009
1362.71 324.81458000000009
1362.81 324.81326000000007
1362.91 324.81176000000005
1363.01 324.81036
1363.11 324.80944
1363.21 324.80782000000005
1363.31 324.80673999999993
1363.41 324.80478000000005
1363.51 324.80396000000002
1363.61 324.80310000000003
1363.71 324.80181999999996
1363.81 324.8005599999999
1363.91 324.79887999999994
1364.01 324.79761999999999
1364.11 324.79658000000001
1364.21 324.79503999999991
1364.31 324.79307999999992
1364.41 324.79181999999992
1364.51 324.79032000000001
1364.61 324.78946000000002
1364.71 324.78816000000006
1364.81 324.78686000000005
1364.91 324.78508000000011
1365.01 324.7845200000001
1365.11 324.78371999999996
1365.21 324.78210000000001
1365.31 324.78167999999999
1365.41 324.77965999999998
1365.51 324.77785999999998
1365.61 324.77706000000001
1365.71 324.77575999999999
1365.81 324.77321999999998
1365.91 324.77226000000002
1366.01 324.77111999999994
1366.11 324.77003999999999
1366.21 324.76841999999999
1366.31 324.76782000000003
1366.41 324.76635999999996
1366.51 324.76533999999987
1366.61 324.76289999999995
1366.71 324.76176000000004
1366.81 324.76047999999997
1366.91 324.75895999999995
1367.01 324.75870000000003
1367.11 324.75708000000003
1367.21 324.75554000000005
1367.31 324.75430000000017
1367.41 324.75304
1367.51 324.75210000000004
1367.61 324.75028000000003
1367.71 324.74920000000003
1367.81 324.74839999999995
1367.91 324.74688000000003
1368.01 324.74540000000007
1368.11 324.74411999999995
1368.21 324.74245999999994
1368.31 324.74118000000004
1368.41 324.73979999999995
1368.51 324.73857999999996
1368.61 324.73709999999994
1368.71 324.73676
1368.81 324.73531999999994
1368.91 324.73365999999993
1369.01 324.73253999999991
1369.11 324.73054000000002
1369.21 324.72964000000002
1369.31 324.72886
1369.41 324.72818000000001
1369.51 324.72665999999998
1369.61 324.72525999999999
1369.71 324.72357999999997
1369.81 324.72239999999988
1369.91 324.72167999999994
1370.01 324.71942000000001
1370.11 324.71785999999997
1370.21 324.71679999999992
1370.31 324.71549999999991
1370.41 324.71418000000006
1370.51 324.71262000000019
1370.61 324.71176000000008
1370.71 324.71021999999999
1370.81 324.70982000000009
1370.91 324.70816000000008
1371.01 324.70694000000009
1371.11 324.7053800000001
1371.21 324.70462000000009
1371.31 324.70212000000004
1371.41 324.70069999999998
1371.51 324.69939999999997
1371.61 324.69841999999989
1371.71 324.6973799999999
1371.81 324.69539999999995
1371.91 324.69448
1372.01 324.69370000000009
1372.11 324.69280000000009
1372.21 324.69182000000006
1372.31 324.69040000000007
1372.41 324.68836000000005
1372.51 324.68747999999994
1372.61 324.68601999999998
1372.71 324.68495999999999
1372.81 324.68351999999999
1372.91 324.68179999999995
1373.01 324.68072000000001
1373.11 324.67958000000004
1373.21 324.67821999999984
1373.31 324.67681999999985
1373.41 324.67549999999994
1373.51 324.67509999999993
1373.61 324.67369999999994
1373.71 324.67076000000003
1373.81 324.67033999999995
1373.91 324.66929999999996
1374.01 324.66820000000001
1374.11 324.66667999999999
1374.21 324.66592000000003
1374.31 324.66420000000005
1374.41 324.66260000000005
1374.51 324.66164000000003
1374.61 324.65955999999994
1374.71 324.65802000000008
1374.81 324.6573600000001
1374.91 324.65598
1375.01 324.65467999999998
1375.11 324.65373999999991
1375.21 324.65251999999987
1375.31 324.65107999999992
1375.41 324.65021999999988
1375.51 324.64891999999998
1375.61 324.64678000000009
1375.71 324.64621999999997
1375.81 324.64411999999999
1375.91 324.64393999999999
1376.01 324.64207999999991
1376.11 324.63988000000001
1376.21 324.63893999999999
1376.31 324.63743999999997
1376.41 324.63665999999995
1376.51 324.63566000000014
1376.61 324.63436000000002
1376.71 324.63278000000008
1376.81 324.63174000000004
1376.91 324.63007999999996
1377.01 324.62883999999997
1377.11 324.62778000000003
1377.21 324.62653999999998
1377.31 324.62501999999995
1377.41 324.62405999999999
1377.51 324.62238000000002
1377.61 324.62065999999993
1377.71 324.61965999999995
1377.81 324.61900000000003
1377.91 324.61804000000001
1378.01 324.61604
1378.11 324.61452000000003
1378.21 324.61246000000011
1378.31 324.61162000000002
1378.41 324.6107199999999
1378.51 324.60951999999992
1378.61 324.60789999999992
1378.71 324.60739999999998
1378.81 324.60601999999994
1378.91 324.60386
1379.01 324.60210000000001
1379.11 324.60151999999999
1379.21 324.60096000000004
1379.31 324.59922
1379.41 324.59771999999998
1379.51 324.59660000000002
1379.61 324.5948800000001
1379.71 324.59442000000001
1379.81 324.59291999999994
1379.91 324.59099999999995
1380.01 324.58994000000007
1380.11 324.58938000000012
1380.21 324.58848000000012
1380.31 324.58666000000005
1380.41 324.58565999999996
1380.51 324.58519999999999
1380.61 324.5829
1380.71 324.58132000000001
1380.81 324.58004000000005
1380.91 324.57814000000008
1381.01 324.57664000000005
1381.11 324.57618000000002
1381.21 324.57522000000006
1381.31 324.57350000000014
1381.41 324.57208000000008
1381.51 324.57114000000001
1381.61 324.56968000000006
1381.71 324.56867999999997
1381.81 324.56703999999996
1381.91 324.56549999999999
1382.01 324.56423999999998
1382.11 324.56337999999994
1382.21 324.56271999999996
1382.31 324.56056000000007
1382.41 324.55905999999999
1382.51 324.55817999999994
1382.61 324.55679999999984
1382.71 324.55573999999996
1382.81 324.55445999999995
1382.91 324.55332000000004
1383.01 324.55167999999992
1383.11 324.55049999999994
1383.21 324.54917999999992
1383.31 324.54798
1383.41 324.54650000000004
1383.51 324.54580000000004
1383.61 324.54498000000001
1383.71 324.54292000000004
1383.81 324.54144000000002
1383.91 324.54017999999996
1384.01 324.53805999999997
1384.11 324.53764000000001
1384.21 324.536
1384.31 324.53468000000009
1384.41 324.53460000000013
1384.51 324.53306000000009
1384.61 324.53118000000001
1384.71 324.52902
1384.81 324.52744000000001
1384.91 324.52710000000002
1385.01 324.52551999999997
1385.11 324.52450000000005
1385.21 324.52358000000009
1385.31 324.52222
1385.41 324.52135999999996
1385.51 324.52010000000001
1385.61 324.51839999999999
1385.71 324.51655999999986
1385.81 324.51571999999987
1385.91 324.51461999999992
1386.01 324.51331999999996
1386.11 324.51277999999996
1386.21 324.51127999999994
1386.31 324.50935999999996
1386.41 324.50808000000001
1386.51 324.50710000000004
1386.61 324.50639999999999

