# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       Cu2p3
# Spectrum ID:                  8
# Acquisition Date:             06/01/22 09:58:53 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 501
# Dwell Time:                   0.1
# Excitation Energy:            1486.61
# Kinetic Energy:               511.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 10

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 09:58:53 UTC
# ColumnLabels:                 energy counts/s
#
511.61  7657.0466
511.71  7469.8186
511.81  7484.2586
511.91  7494.7783
512.01  7644.2642
512.11  7409.6898
512.21  7532.7111
512.31  7505.1744
512.41  7379.1266
512.51  7418.178
512.61  7518.675
512.71  7614.6251
512.81  7482.6321
512.91  7511.9932
513.01  7559.1944
513.11  7562.8658
513.21  7638.1923
513.31  7513.3884
513.41  7346.9035
513.51  7409.09
513.61  7484.7683
513.71  7457.4119
513.81  7455.8765
513.91  7402.0598
514.01  7453.0454
514.11  7558.986
514.21  7510.0484
514.31  7494.4419
514.41  7426.5818
514.51  7522.1354
514.61  7546.2206
514.71  7442.5262
514.81  7525.9897
514.91  7540.4554
515.01  7581.4875
515.11  7547.9288
515.21  7630.9909
515.31  7484.1851
515.41  7577.704
515.51  7697.7387
515.61  7604.2828
515.71  7621.4326
515.81  7627.1595
515.91  7469.0826
516.01  7608.4107
516.11  7432.0492
516.21  7376.6744
516.31  7586.7198
516.41  7662.1254
516.51  7653.7377
516.61  7482.0171
516.71  7611.2315
516.81  7654.8608
516.91  7560.4786
517.01  7619.6326
517.11  7578.9746
517.21  7456.7193
517.31  7628.7424
517.41  7542.5283
517.51  7665.9196
517.61  7603.1534
517.71  7480.4016
517.81  7574.0188
517.91  7660.8858
518.01  7683.6562
518.11  7488.5313
518.21  7571.0213
518.31  7465.2125
518.41  7482.7826
518.51  7591.4085
518.61  7520.3606
518.71  7557.0515
518.81  7651.4003
518.91  7600.812
519.01  7680.2454
519.11  7561.9236
519.21  7541.0666
519.31  7515.5236
519.41  7663.4404
519.51  7474.7161
519.61  7559.8003
519.71  7459.942
519.81  7452.4785
519.91  7508.2195
520.01  7648.3344
520.11  7541.3978
520.21  7558.4086
520.31  7558.7005
520.41  7513.593
520.51  7504.8605
520.61  7511.8479
520.71  7497.6617
520.81  7491.7928
520.91  7448.8766
521.01  7473.618
521.11  7430.0895
521.21  7528.3784
521.31  7489.0017
521.41  7381.672
521.51  7540.6334
521.61  7427.0901
521.71  7390.6305
521.81  7290.7844
521.91  7315.4686
522.01  7408.2971
522.11  7292.4196
522.21  7212.1692
522.31  7297.7247
522.41  7300.0147
522.51  7357.3165
522.61  7350.0475
522.71  7327.9608
522.81  7341.2935
522.91  7271.8474
523.01  7259.9239
523.11  7353.334
523.21  7346.3548
523.31  7319.6671
523.41  7285.7666
523.51  7392.2311
523.61  7426.5483
523.71  7436.2045
523.81  7351.4869
523.91  7365.5072
524.01  7233.3681
524.11  7291.3314
524.21  7367.3787
524.31  7426.0463
524.41  7351.29
524.51  7147.883
524.61  7324.508
524.71  7347.7217
524.81  7343.701
524.91  7397.704
525.01  7336.1732
525.11  7291.8048
525.21  7189.7597
525.31  7321.6836
525.41  7329.7486
