# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       Mn2p4
# Spectrum ID:                  15
# Acquisition Date:             06/01/22 13:19:10 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 181
# Dwell Time:                   0.5
# Excitation Energy:            1486.61
# Kinetic Energy:               834.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 50

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 13:19:10 UTC
# ColumnLabels:                 energy counts/s
#
834.61  1645.6619
834.71  1634.2886
834.81  1640.8124
834.91  1628.5705
835.01  1649.2778
835.11  1648.2047
835.21  1667.0911
835.31  1655.102
835.41  1647.8847
835.51  1649.0123
835.61  1638.8949
835.71  1642.6322
835.81  1639.9873
835.91  1639.6469
836.01  1632.6589
836.11  1642.8704
836.21  1621.2944
836.31  1615.7044
836.41  1625.8958
836.51  1621.185
836.61  1606.6202
836.71  1603.3635
836.81  1602.6182
836.91  1621.2116
837.01  1625.3008
837.11  1609.2496
837.21  1615.9564
837.31  1613.3162
837.41  1616.5463
837.51  1638.0986
837.61  1623.3393
837.71  1642.7788
837.81  1627.2732
837.91  1626.9416
838.01  1640.6197
838.11  1644.749
838.21  1636.4529
838.31  1626.7799
838.41  1629.1759
838.51  1621.5395
838.61  1625.9123
838.71  1617.7913
838.81  1601.5657
838.91  1603.3254
839.01  1589.657
839.11  1589.3341
839.21  1603.0891
839.31  1588.3788
839.41  1577.1071
839.51  1575.85
839.61  1559.0667
839.71  1559.6792
839.81  1556.5813
839.91  1555.2491
840.01  1539.4765
840.11  1545.6276
840.21  1541.2976
840.31  1539.156
840.41  1523.9116
840.51  1518.3631
840.61  1521.1226
840.71  1529.2281
840.81  1526.2281
840.91  1522.0191
841.01  1525.2364
841.11  1534.8079
841.21  1523.72
841.31  1522.7861
841.41  1512.9862
841.51  1515.339
841.61  1526.0404
841.71  1530.962
841.81  1535.3447
841.91  1535.9213
842.01  1531.3679
842.11  1519.5214
842.21  1513.3857
842.31  1519.2081
842.41  1535.6806
842.51  1539.9791
842.61  1548.1628
842.71  1535.7497
842.81  1548.064
842.91  1537.874
843.01  1552.1266
843.11  1547.2128
843.21  1553.5889
843.31  1546.6683
843.41  1559.8865
843.51  1549.9207
843.61  1563.379
843.71  1571.2609
843.81  1560.6769
843.91  1572.308
844.01  1569.7956
844.11  1562.4748
844.21  1574.4401
844.31  1581.9014
844.41  1590.8947
844.51  1608.4559
844.61  1618.2217
844.71  1637.4673
844.81  1629.2812
844.91  1633.9374
845.01  1649.1237
845.11  1656.2614
845.21  1676.9502
845.31  1687.0898
845.41  1682.8979
845.51  1689.1647
845.61  1692.1692
845.71  1703.3902
845.81  1698.277
845.91  1713.3437
846.01  1732.3544
846.11  1728.1297
846.21  1700.8408
846.31  1706.4277
846.41  1693.5418
846.51  1686.5911
846.61  1688.9926
846.71  1674.3176
846.81  1657.7539
846.91  1636.6886
847.01  1619.5707
847.11  1627.6117
847.21  1619.6897
847.31  1603.0915
847.41  1569.2452
847.51  1521.6463
847.61  1482.4083
847.71  1432.9223
847.81  1393.9757
847.91  1359.649
848.01  1312.2327
848.11  1287.7319
848.21  1285.7889
848.31  1264.9121
848.41  1247.2905
848.51  1239.1716
848.61  1253.3764
848.71  1246.2837
848.81  1235.8218
848.91  1233.6617
849.01  1233.1156
849.11  1229.7192
849.21  1219.4829
849.31  1215.1582
849.41  1222.6641
849.51  1223.8976
849.61  1224.6554
849.71  1224.9132
849.81  1209.1111
849.91  1205.4369
850.01  1214.1511
850.11  1197.6564
850.21  1202.5819
850.31  1204.9614
850.41  1203.5612
850.51  1200.13
850.61  1192.4016
850.71  1195.3293
850.81  1195.7555
850.91  1185.5958
851.01  1197.4718
851.11  1190.1689
851.21  1186.4573
851.31  1183.7282
851.41  1185.3803
851.51  1187.0412
851.61  1184.0321
851.71  1180.5254
851.81  1186.7632
851.91  1186.3427
852.01  1172.7995
852.11  1164.9792
852.21  1168.1905
852.31  1186.2726
852.41  1176.565
852.51  1179.3771
852.61  1182.4574

# External Channel Data Cycle: 0, Temp1_Sen [K] (EBH 150)
#
# ColumnLabels: energy Temp1_Sen [K] (EBH 150)
#
834.61 325.76783999999998
834.71 325.76745999999997
834.81 325.76575999999989
834.91 325.76472000000001
835.01 325.76279999999997
835.11 325.76138000000003
835.21 325.76010000000002
835.31 325.75897999999995
835.41 325.75797999999998
835.51 325.75634000000014
835.61 325.75445999999999
835.71 325.75357999999994
835.81 325.7514799999999
835.91 325.75007999999991
836.01 325.74833999999998
836.11 325.74731999999995
836.21 325.74595999999997
836.31 325.74474000000004
836.41 325.74400000000003
836.51 325.74200000000002
836.61 325.74035999999995
836.71 325.73944
836.81 325.73771999999997
836.91 325.73606000000001
837.01 325.73394000000002
837.11 325.73313999999999
837.21 325.73143999999996
837.31 325.73130000000003
837.41 325.72998000000007
837.51 325.72789999999992
837.61 325.72698000000003
837.71 325.72557999999998
837.81 325.72424000000001
837.91 325.72266000000008
838.01 325.72068000000002
838.11 325.72024000000005
838.21 325.71871999999996
838.31 325.71703999999988
838.41 325.71521999999999
838.51 325.71285999999998
838.61 325.7131399999999
838.71 325.71145999999999
838.81 325.71033999999997
838.91 325.70830000000001
839.01 325.70694000000009
839.11 325.70560000000017
839.21 325.70418000000006
839.31 325.70317999999997
839.41 325.70159999999998
839.51 325.70009999999991
839.61 325.69898000000001
839.71 325.69743999999986
839.81 325.69639999999987
839.91 325.69460000000004
840.01 325.69327999999996
840.11 325.69114000000008
840.21 325.6902
840.31 325.68913999999995
840.41 325.68747999999999
840.51 325.68666000000007
840.61 325.68456000000009
840.71 325.68358000000006
840.81 325.68190000000004
840.91 325.68084000000005
841.01 325.67930000000001
841.11 325.6773
841.21 325.67619999999999
841.31 325.67505999999997
841.41 325.67355999999995
841.51 325.67201999999997
841.61 325.67138
841.71 325.66987999999992
841.81 325.66777999999994
841.91 325.66589999999997
842.01 325.66504000000003
842.11 325.66417999999999
842.21 325.66264000000001
842.31 325.66092000000003
842.41 325.66016000000002
842.51 325.6585399999999
842.61 325.65763999999996
842.71 325.65514000000002
842.81 325.65390000000002
842.91 325.65323999999998
843.01 325.65077999999994
843.11 325.64969999999988
843.21 325.64906000000008
843.31 325.64744000000007
843.41 325.64580000000001
843.51 325.64414000000011
843.61 325.64283999999992
843.71 325.64206000000007
843.81 325.64064000000008
843.91 325.63883999999996
844.01 325.63791999999995
844.11 325.63688000000002
844.21 325.63520000000005
844.31 325.63377999999994
844.41 325.63233999999989
844.51 325.63031999999993
844.61 325.62880000000007
844.71 325.62738000000002
844.81 325.62638000000004
844.91 325.62486000000001
845.01 325.62362000000007
845.11 325.62183999999991
845.21 325.62103999999994
845.31 325.61872
845.41 325.61810000000003
845.51 325.61724000000004
845.61 325.61628000000002
845.71 325.61395999999996
845.81 325.61273999999997
845.91 325.61123999999984
846.01 325.60937999999987
846.11 325.60816000000005
846.21 325.60748000000001
846.31 325.60603999999995
846.41 325.60412000000002
846.51 325.60279999999995
846.61 325.60153999999994
846.71 325.60000000000002
846.81 325.5988000000001
846.91 325.59704000000011
847.01 325.59554000000009
847.11 325.59447999999998
847.21 325.59276
847.31 325.5911200000001
847.41 325.59028000000012
847.51 325.58886000000007
847.61 325.58668
847.71 325.58522000000011
847.81 325.5839600000001
847.91 325.58256
848.01 325.58236000000011
848.11 325.58042
848.21 325.57859999999999
848.31 325.57743999999991
848.41 325.57665999999995
848.51 325.57441999999998
848.61 325.57312000000002
848.71 325.57188000000008
848.81 325.57022000000006
848.91 325.56962000000004
849.01 325.56856000000016
849.11 325.56734000000006
849.21 325.56516000000005
849.31 325.56405999999993
849.41 325.56202000000002
849.51 325.56058000000007
849.61 325.55918000000003
849.71 325.55784000000006
849.81 325.55630000000002
849.91 325.55552
850.01 325.55483999999996
850.11 325.55266000000006
850.21 325.55176
850.31 325.55059999999997
850.41 325.54948000000002
850.51 325.54690000000005
850.61 325.54517999999996
850.71 325.54451999999992
850.81 325.54400000000004
850.91 325.54268000000008
851.01 325.54094000000009
851.11 325.53914000000015
851.21 325.53825999999998
851.31 325.53627999999992
851.41 325.53464000000002
851.51 325.5329200000001
851.61 325.53236000000004
851.71 325.53068000000007
851.81 325.52929999999998
851.91 325.52798000000001
852.01 325.52648000000005
852.11 325.5246600000001
852.21 325.52394000000004
852.31 325.52297999999996
852.41 325.52106000000009
852.51 325.51909999999998
852.61 325.51727999999997

