BE/eV	PE: 1486.61 eV
47.8599999999999	393.69
47.75999999999999	412.367
47.659999999999854	478.999
47.559999999999945	492.025
47.45999999999981	438.908
47.3599999999999	468.446
47.25999999999999	456.65
47.159999999999854	412.467
47.059999999999945	447.522
46.95999999999981	461.514
46.8599999999999	454.029
46.75999999999999	429.388
46.659999999999854	460.09
46.559999999999945	460.549
46.45999999999981	459.145
46.3599999999999	452.32
46.25999999999999	426.327
46.159999999999854	397.189
46.059999999999945	417.172
45.95999999999981	461.01
45.8599999999999	399.113
45.75999999999999	423.185
45.659999999999854	443.264
45.559999999999945	395.086
45.45999999999981	404.776
45.3599999999999	408.91
45.25999999999999	430.938
45.159999999999854	404.498
45.059999999999945	399.913
44.95999999999981	369.969
44.8599999999999	403.449
44.75999999999999	408.093
44.659999999999854	393.415
44.559999999999945	376.06
44.45999999999981	376.411
44.3599999999999	371.422
44.25999999999999	348.865
44.159999999999854	351.529
44.059999999999945	391.985
43.95999999999981	379.79
43.8599999999999	360.785
43.75999999999999	374.758
43.659999999999854	370.531
43.559999999999945	373.632
43.45999999999981	391.2
43.3599999999999	378.73
43.25999999999999	390.026
43.159999999999854	378.694
43.059999999999945	387.397
42.95999999999981	365.481
42.8599999999999	398.834
42.75999999999999	386.457
42.659999999999854	374.693
42.559999999999945	402.226
42.45999999999981	438.968
42.3599999999999	385.923
42.25999999999999	399.508
42.159999999999854	407.982
42.059999999999945	420.95
41.95999999999981	446.975
41.8599999999999	430.322
41.75999999999999	435.698
41.659999999999854	461.245
41.559999999999945	486.111
41.45999999999981	470.472
41.3599999999999	475.041
41.25999999999999	505.899
41.159999999999854	511.155
41.059999999999945	527.583
40.95999999999981	582.115
40.8599999999999	524.557
40.75999999999999	506.999
40.659999999999854	566.94
40.559999999999945	490.107
40.45999999999981	485.661
40.3599999999999	520.231
40.25999999999999	501.734
40.159999999999854	489.967
40.059999999999945	481.95
39.95999999999981	503.245
39.8599999999999	522.086
39.75999999999999	562.47
39.659999999999854	579.834
39.559999999999945	603.711
39.45999999999981	710.59
39.3599999999999	804.355
39.25999999999999	895.743
39.159999999999854	1197.87
39.059999999999945	1503.48
38.95999999999981	2005.62
38.8599999999999	2663.69
38.75999999999999	3273.52
38.659999999999854	3807.61
38.559999999999945	4028.88
38.45999999999981	4038.57
38.3599999999999	3968.43
38.25999999999999	3960.55
38.159999999999854	4337.46
38.059999999999945	4766.97
37.95999999999981	4948.61
37.8599999999999	4805.0
37.75999999999999	4169.03
37.659999999999854	3358.02
37.559999999999945	2531.35
37.45999999999981	1761.42
37.3599999999999	1164.81
37.25999999999999	796.41
37.159999999999854	550.96
37.059999999999945	385.991
36.95999999999981	304.887
36.8599999999999	239.358
36.75999999999999	225.165
36.659999999999854	209.873
36.559999999999945	179.375
36.45999999999981	164.322
36.3599999999999	147.994
36.25999999999999	131.518
36.159999999999854	143.08
36.059999999999945	117.612
35.95999999999981	110.754
35.8599999999999	116.999
35.75999999999999	124.925
35.659999999999854	113.691
35.559999999999945	128.023
35.45999999999981	132.512
35.3599999999999	112.152
35.25999999999999	114.216
35.159999999999854	99.8972
35.059999999999945	103.057
34.95999999999981	90.4753
34.8599999999999	106.551
34.75999999999999	118.752
34.659999999999854	104.551
34.559999999999945	91.5989
34.45999999999981	110.55
34.3599999999999	109.691
34.25999999999999	87.9198
34.159999999999854	112.439
34.059999999999945	103.376
33.95999999999981	109.554
33.8599999999999	104.627
33.75999999999999	88.015
33.659999999999854	73.875
33.559999999999945	86.546
33.45999999999981	93.897
33.3599999999999	102.269
33.25999999999999	83.5335
33.159999999999854	84.2751
33.059999999999945	86.3521
32.95999999999981	99.8905
32.8599999999999	113.399
32.75999999999999	95.2633
32.659999999999854	94.6468
32.559999999999945	123.23
32.45999999999981	116.19
32.3599999999999	114.703
32.25999999999999	93.5021
32.159999999999854	75.4783
32.059999999999945	103.248
31.95999999999981	87.3392
31.8599999999999	82.4155
31.75999999999999	86.3796
31.659999999999854	90.3224
31.559999999999945	96.2872
31.45999999999981	102.953
31.3599999999999	87.4878
31.25999999999999	86.1718
31.159999999999854	97.0511
31.059999999999945	104.245
30.95999999999981	94.3562
30.8599999999999	96.8117
30.75999999999999	91.6804
30.659999999999854	90.5762
30.559999999999945	89.4271
30.45999999999981	100.345
30.3599999999999	87.9337
30.25999999999999	83.8542
30.159999999999854	88.2141
30.059999999999945	100.42
29.95999999999981	91.216
29.8599999999999	81.1803
